task,estimator,in_distribution,test_accuracy,test_accuracy_clopper_pearson_95%_interval
Voting,Adv. Label DRO,True,0.875,"(0.8434662799079922, 0.9021879049676454)"
Voting,CatBoost,True,0.8826923076923077,"(0.8518742584481144, 0.9090703503947328)"
Voting,DRO,True,0.8807692307692307,"(0.8497688758866716, 0.907353194086512)"
Voting,FT-Transformer,True,0.8788461538461538,"(0.8476657824970769, 0.9056337027035409)"
Voting,Label Group DRO,True,0.8615384615384616,"(0.8288338612289794, 0.8900605571231233)"
Voting,LightGBM,True,0.8807692307692307,"(0.8497688758866716, 0.907353194086512)"
Voting,MLP,True,0.8923076923076924,"(0.8624372647885293, 0.9176192810302011)"
Voting,NODE,True,0.8846153846153846,"(0.8539819783139213, 0.910785121640941)"
Voting,ResNet,True,0.8865384615384615,"(0.8560920855838032, 0.9124974557638947)"
Voting,SAINT,True,0.8884615384615384,"(0.8582046324391177, 0.9142072985058312)"
Voting,TabTransformer,True,0.8769230769230769,"(0.8455649320075623, 0.9039119242729516)"
Voting,XGBoost,True,0.8980769230769231,"(0.8688059489238159, 0.922717071167553)"
Voting,CORAL,True,0.8826923076923077,"(0.8518742584481144, 0.9090703503947328)"
Voting,DANN,True,0.8923076923076924,"(0.8624372647885293, 0.9176192810302011)"
Voting,Group DRO,True,0.8769230769230769,"(0.8455649320075623, 0.9039119242729516)"
Voting,IRM,True,0.8038461538461539,"(0.7670663682801132, 0.8371289698523856)"
Voting,MMD,True,0.8923076923076924,"(0.8624372647885293, 0.9176192810302011)"
Voting,MixUp,True,0.8923076923076924,"(0.8624372647885293, 0.9176192810302011)"
Voting,VREX,True,0.8038461538461539,"(0.7670663682801132, 0.8371289698523856)"
ASSISTments,Adv. Label DRO,True,,
ASSISTments,CatBoost,True,0.9430535026972682,"(0.9421670731212681, 0.9439302840055375)"
ASSISTments,DRO,True,0.932358215226248,"(0.9313982972937073, 0.9333087198464933)"
ASSISTments,FT-Transformer,True,0.9387168656167704,"(0.9377997027253431, 0.9396244755876785)"
ASSISTments,Label Group DRO,True,0.9277102106045032,"(0.9267205937625481, 0.9286905160630384)"
ASSISTments,LightGBM,True,0.9359820832364218,"(0.9350462131290285, 0.9369084604931164)"
ASSISTments,MLP,True,0.9328346450785172,"(0.9318778424814549, 0.9337820239100103)"
ASSISTments,NODE,True,0.9346503304997636,"(0.9337055276213921, 0.9355856697649629)"
ASSISTments,ResNet,True,0.932977198892582,"(0.9320213311066902, 0.9339236397849456)"
ASSISTments,SAINT,True,0.9346990989098384,"(0.933750844729308, 0.9356303856567146)"
ASSISTments,TabTransformer,True,0.929503387528792,"(0.9285213072372316, 0.9304686143740172)"
ASSISTments,XGBoost,True,0.9303174448354254,"(0.9293443347563725, 0.9312811863667869)"
ASSISTments,CORAL,True,,
ASSISTments,DANN,True,,
ASSISTments,Group DRO,True,,
ASSISTments,IRM,True,,
ASSISTments,MMD,True,,
ASSISTments,MixUp,True,,
ASSISTments,VREX,True,,
College Scorecard,Adv. Label DRO,True,0.9373376623376624,"(0.9329132469979557, 0.9415540441867989)"
College Scorecard,CatBoost,True,0.9574675324675324,"(0.9536694725841615, 0.9608851504251309)"
College Scorecard,DRO,True,0.95,"(0.946003280806189, 0.953782367918069)"
